"id","tooth_number","tooth_type","description","created_at"
"1","11","permanent",NULL,"2025-08-11 21:47:41.304218+03"
"2","12","permanent",NULL,"2025-08-11 21:47:41.311224+03"
"3","13","permanent",NULL,"2025-08-11 21:47:41.313567+03"
"4","14","permanent",NULL,"2025-08-11 21:47:41.316221+03"
"5","15","permanent",NULL,"2025-08-11 21:47:41.320223+03"
"6","16","permanent",NULL,"2025-08-11 21:47:41.323223+03"
"7","17","permanent",NULL,"2025-08-11 21:47:41.326379+03"
"8","18","permanent",NULL,"2025-08-11 21:47:41.329285+03"
"9","21","permanent",NULL,"2025-08-11 21:47:41.332218+03"
"10","22","permanent",NULL,"2025-08-11 21:47:41.334221+03"
"11","23","permanent",NULL,"2025-08-11 21:47:41.336219+03"
"12","24","permanent",NULL,"2025-08-11 21:47:41.33928+03"
"13","25","permanent",NULL,"2025-08-11 21:47:41.341219+03"
"14","26","permanent",NULL,"2025-08-11 21:47:41.34422+03"
"15","27","permanent",NULL,"2025-08-11 21:47:41.34622+03"
"16","28","permanent",NULL,"2025-08-11 21:47:41.348225+03"
"17","31","permanent",NULL,"2025-08-11 21:47:41.35122+03"
"18","32","permanent",NULL,"2025-08-11 21:47:41.353221+03"
"19","33","permanent",NULL,"2025-08-11 21:47:41.355631+03"
"20","34","permanent",NULL,"2025-08-11 21:47:41.358221+03"
"21","35","permanent",NULL,"2025-08-11 21:47:41.36022+03"
"22","36","permanent",NULL,"2025-08-11 21:47:41.362265+03"
"23","37","permanent",NULL,"2025-08-11 21:47:41.366218+03"
"24","38","permanent",NULL,"2025-08-11 21:47:41.369222+03"
"25","41","permanent",NULL,"2025-08-11 21:47:41.373219+03"
"26","42","permanent",NULL,"2025-08-11 21:47:41.376334+03"
"27","43","permanent",NULL,"2025-08-11 21:47:41.380221+03"
"28","44","permanent",NULL,"2025-08-11 21:47:41.383218+03"
"29","45","permanent",NULL,"2025-08-11 21:47:41.38722+03"
"30","46","permanent",NULL,"2025-08-11 21:47:41.39022+03"
"31","47","permanent",NULL,"2025-08-11 21:47:41.39322+03"
"32","48","permanent",NULL,"2025-08-11 21:47:41.397219+03"
"33","51","primary",NULL,"2025-08-11 21:47:41.400223+03"
"34","52","primary",NULL,"2025-08-11 21:47:41.403218+03"
"35","53","primary",NULL,"2025-08-11 21:47:41.405221+03"
"36","54","primary",NULL,"2025-08-11 21:47:41.409221+03"
"37","55","primary",NULL,"2025-08-11 21:47:41.412219+03"
"38","61","primary",NULL,"2025-08-11 21:47:41.414219+03"
"39","62","primary",NULL,"2025-08-11 21:47:41.417219+03"
"40","63","primary",NULL,"2025-08-11 21:47:41.419219+03"
"41","64","primary",NULL,"2025-08-11 21:47:41.422218+03"
"42","65","primary",NULL,"2025-08-11 21:47:41.426218+03"
"43","71","primary",NULL,"2025-08-11 21:47:41.429218+03"
"44","72","primary",NULL,"2025-08-11 21:47:41.4315+03"
"45","73","primary",NULL,"2025-08-11 21:47:41.43422+03"
"46","74","primary",NULL,"2025-08-11 21:47:41.436218+03"
"47","75","primary",NULL,"2025-08-11 21:47:41.440222+03"
"48","81","primary",NULL,"2025-08-11 21:47:41.444224+03"
"49","82","primary",NULL,"2025-08-11 21:47:41.448301+03"
"50","83","primary",NULL,"2025-08-11 21:47:41.451224+03"
"51","84","primary",NULL,"2025-08-11 21:47:41.453416+03"
"52","85","primary",NULL,"2025-08-11 21:47:41.456224+03"
